Year,Channel,Views
2017,T-Series,152245
2018,T-Series,2134570
2019,T-Series,1809830
2020,T-Series,2306178
2021,T-Series,1676330
2022,T-Series,95416
2017,ABCkidTV - Nursery Rhymes,1837916
2018,ABCkidTV - Nursery Rhymes,1837916
2019,ABCkidTV - Nursery Rhymes,4891832
2020,ABCkidTV - Nursery Rhymes,7052577
2021,ABCkidTV - Nursery Rhymes,12654330
2022,ABCkidTV - Nursery Rhymes,15722845
2017,SET India,446040
2018,SET India,586040
2019,SET India,280128
2020,SET India,343788
2021,SET India,353602
2022,SET India,322034
2017,PewDiePie,134594
2018,PewDiePie,2497395
2019,PewDiePie,3497395
2020,PewDiePie,3094440
2021,PewDiePie,3620274
2022,PewDiePie,4454120
2017,MrBeast,12941021
2018,MrBeast,29941021
2019,MrBeast,29941021
2020,MrBeast,29941021
2021,MrBeast,29941021
2022,MrBeast,53434733
